City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,acajutla,13.5928,-89.8275,29.42,56,7,3.82,SV,1675370024
173,baiao,-2.7906,-49.6717,23.18,91,100,1.48,BR,1675370024
174,narsaq,60.9167,-46.05,-9.88,97,70,2.51,GL,1675370025
175,srednekolymsk,67.45,153.6833,-34.14,100,100,0.77,RU,1675369731
176,kenai,60.5544,-151.2583,-2.14,95,100,1.54,US,1675369979
177,matay,28.419,30.7792,11.29,49,0,2.25,EG,1675370025
178,mednogorsk,51.4128,57.595,-18.0,89,84,3.11,RU,1675370026
179,nuuk,64.1835,-51.7216,-12.66,72,75,4.63,GL,1675370026
180,saint anthony,45.0205,-93.218,-11.97,46,0,10.8,US,1675370026
181,arlit,18.7369,7.3853,20.75,12,6,1.93,NE,1675370027
182,nikolskoye,59.7035,30.7861,-1.06,99,100,0.74,RU,1675370027
183,mizdah,31.4451,12.9801,10.02,56,99,4.16,LY,1675370028
184,veraval,20.9,70.3667,21.91,44,46,4.86,IN,1675370028
185,guerrero negro,27.9769,-114.0611,20.05,34,16,3.71,MX,1675370028
186,ribeira grande,38.5167,-28.7,15.99,88,20,8.94,PT,1675370029
187,marsh harbour,26.5412,-77.0636,24.46,68,0,3.26,BS,1675370029
188,myatlevo,54.8969,35.6762,-1.23,96,99,3.35,RU,1675370029
189,roswell,34.0232,-84.3616,10.0,94,100,2.06,US,1675369910
190,doka,13.5167,35.7667,25.22,29,10,6.76,SD,1675370030
191,faanui,-16.4833,-151.75,27.45,75,30,8.31,PF,1675370030
192,raymondville,26.4815,-97.7831,9.06,67,100,5.42,US,1675370031
193,sovetskaya gavan,48.9723,140.2878,-23.63,91,10,2.37,RU,1675370031
194,sao filipe,14.8961,-24.4956,22.11,73,27,5.97,CV,1675370031
195,leningradskiy,69.3833,178.4167,-29.44,100,100,2.61,RU,1675370032
196,berezovka,53.7214,25.4993,-1.11,85,97,5.65,BY,1675370032
197,san jeronimo,-11.9472,-75.2829,15.0,66,70,2.01,PE,1675370033
198,abrau-dyurso,44.69,37.59,-1.3,76,56,0.89,RU,1675370033
199,villazon,-22.0866,-65.5942,16.87,41,47,8.51,BO,1675370034
200,nacala,-14.5428,40.6728,24.93,89,55,1.65,MZ,1675370034
201,bengkulu,-3.8004,102.2655,23.54,90,100,2.34,ID,1675370035
202,urucui,-7.2294,-44.5561,26.7,76,100,1.33,BR,1675370035
203,fuerte olimpo,-21.0415,-57.8738,30.82,65,83,0.28,PY,1675370035
204,port hardy,50.6996,-127.4199,7.1,76,100,11.32,CA,1675370036
205,olmos,-5.9847,-79.7453,32.72,38,70,3.84,PE,1675370036
206,tatawin,32.9297,10.4518,9.01,63,100,3.59,TN,1675370036
207,buchanan,5.8808,-10.0467,25.98,87,49,2.37,LR,1675370037
208,bredasdorp,-34.5322,20.0403,17.51,73,2,0.7,ZA,1675370037
209,carbonia,39.1672,8.5222,10.56,86,27,2.27,IT,1675370039
210,lompoc,34.6391,-120.4579,20.08,27,75,5.66,US,1675370039
211,san juan,-31.5375,-68.5364,31.24,32,2,3.43,AR,1675369874
212,balkhash,46.844,74.9804,-5.88,91,100,3.52,KZ,1675370040
213,luderitz,-26.6481,15.1594,18.72,62,6,9.17,NA,1675370040
214,islamkot,24.6997,70.177,17.83,21,3,3.29,PK,1675370041
215,bumba,2.1833,22.4667,24.48,65,81,0.68,CD,1675370041
216,sibolga,1.7427,98.7792,24.01,90,98,1.16,ID,1675370042
217,topchanchi,23.9,86.2,13.02,32,100,3.01,IN,1675370042
218,chokurdakh,70.6333,147.9167,-26.37,99,99,1.91,RU,1675370042
219,chirawa,28.2408,75.6448,14.2,36,0,2.98,IN,1675370043
220,lagoa,39.05,-27.9833,14.54,83,40,10.29,PT,1675370043
221,elko,41.0002,-115.5012,-4.09,52,4,2.24,US,1675370044
222,kologriv,58.8275,44.3178,-4.34,96,100,2.64,RU,1675370044
223,saint-pierre,-21.3393,55.4781,24.82,88,75,6.69,RE,1675370044
224,karratha,-20.7377,116.8463,29.61,68,30,2.14,AU,1675370045
225,dingle,10.9995,122.6711,23.06,95,81,3.8,PH,1675370045
226,caravelas,-17.7125,-39.2481,25.88,76,0,3.07,BR,1675370045
227,tubuala,9.5167,-79.0333,26.4,77,34,6.71,PA,1675370046
228,saint-georges,12.0564,-61.7485,27.82,69,20,8.75,GD,1675369897
229,brae,60.3964,-1.353,9.0,89,100,14.37,GB,1675370047
230,thinadhoo,0.5333,72.9333,27.4,66,33,5.68,MV,1675370047
231,tagusao,9.1924,117.8141,25.22,79,100,2.06,PH,1675370048
232,banjar,-8.19,114.9675,24.25,95,100,0.66,ID,1675370048
233,santa maria,-29.6842,-53.8069,26.61,78,75,1.03,BR,1675369919
234,kidal,18.4411,1.4078,22.69,10,9,5.88,ML,1675370049
235,yellowknife,62.456,-114.3525,-29.69,76,20,5.14,CA,1675369832
236,vila franca do campo,37.7167,-25.4333,15.23,79,69,4.96,PT,1675370049
237,san cristobal,7.7669,-72.225,25.1,29,6,2.98,VE,1675370049
238,gold coast,-28.0,153.4333,26.11,97,2,0.0,AU,1675369754
239,talnakh,69.4865,88.3972,-10.44,96,100,3.42,RU,1675369910
240,abu dhabi,24.4667,54.3667,22.01,75,0,3.09,AE,1675369638
241,wick,58.4333,-3.0833,10.03,87,20,7.72,GB,1675370050
242,pinawa,50.1489,-95.8811,-24.12,81,100,4.58,CA,1675369832
243,flin flon,54.7682,-101.865,-25.09,53,20,2.57,CA,1675370050
244,alofi,-19.0595,-169.9187,23.94,94,100,0.51,NU,1675370051
245,somerset,40.5668,-74.5496,5.57,38,0,2.24,US,1675370051
246,umm lajj,25.0213,37.2685,18.21,56,0,5.76,SA,1675370051
247,norman wells,65.282,-126.8329,-31.98,68,20,3.6,CA,1675370052
248,codrington,-38.2667,141.9667,10.62,79,100,6.63,AU,1675370052
249,el limon,10.3059,-67.6321,30.62,64,38,3.37,VE,1675370053
250,calama,-22.4667,-68.9333,23.27,40,40,10.8,CL,1675370053
251,mazagao,-0.115,-51.2894,26.03,83,100,2.59,BR,1675370053
252,zunheboto,25.9667,94.5167,8.74,74,20,1.51,IN,1675370054
253,shache,38.4167,77.2406,-6.66,84,12,1.93,CN,1675370054
254,taltal,-25.4,-70.4833,22.62,73,24,3.38,CL,1675370055
255,vardo,70.3705,31.1107,-6.01,93,40,6.17,NO,1675369520
256,sarangani,5.4033,125.4636,27.11,75,100,8.38,PH,1675369975
257,seoni,22.0833,79.5333,13.63,24,100,2.71,IN,1675370055
258,gushikawa,26.3544,127.8686,15.57,87,0,0.0,JP,1675370056
259,bandundu,-3.3167,17.3667,22.91,81,20,1.3,CD,1675370056
260,palmer,42.1584,-72.3287,3.41,36,20,7.2,US,1675370056
261,kitimat,54.0524,-128.6534,1.21,100,100,1.66,CA,1675369945
262,khasan,42.4308,130.6434,-10.75,72,11,4.38,RU,1675370057
263,henties bay,-22.116,14.2845,17.81,88,80,3.06,NA,1675370059
264,pontes e lacerda,-15.2261,-59.3353,28.69,75,94,0.91,BR,1675369799
265,mao,39.8885,4.2658,10.31,71,20,6.17,ES,1675370059
266,bajil,15.0584,43.2851,24.82,73,2,3.18,YE,1675370060
267,charagua,-19.8,-63.2167,31.76,58,86,2.37,BO,1675370060
268,kalmunai,7.4167,81.8167,24.49,91,99,2.39,LK,1675370060
269,iqaluit,63.7506,-68.5145,-37.15,67,20,2.06,CA,1675369860
270,erzin,36.9559,36.2,4.87,45,0,1.35,TR,1675370061
271,tazovskiy,67.4667,78.7,-17.5,97,18,3.27,RU,1675370061
272,liverpool,53.4106,-2.9779,11.27,74,75,7.2,GB,1675369922
273,kavieng,-2.5744,150.7967,27.87,75,98,2.62,PG,1675370062
274,lorengau,-2.0226,147.2712,26.78,78,83,0.69,PG,1675370062
275,kavaratti,10.5669,72.642,26.39,79,81,2.68,IN,1675370063
276,ambovombe,-25.1667,46.0833,21.93,86,25,4.99,MG,1675370063
277,gladstone,-23.85,151.25,24.96,100,75,2.06,AU,1675370064
278,matara,5.9485,80.5353,23.74,93,100,3.01,LK,1675370064
279,samarai,-10.6167,150.6667,27.74,78,99,3.12,PG,1675370064
280,westerly,41.3776,-71.8273,3.92,54,0,5.66,US,1675370065
281,umm kaddadah,13.6017,26.6876,17.7,22,15,7.27,SD,1675370065
282,gambela,8.25,34.5833,29.84,19,81,1.5,ET,1675370065
283,aurillac,44.9167,2.45,-1.51,93,0,1.54,FR,1675370066
284,tynda,55.1667,124.7167,-34.98,100,63,1.48,RU,1675369929
285,jutai,-5.1833,-68.9,23.13,93,100,1.02,BR,1675370066
286,cap malheureux,-19.9842,57.6142,25.82,82,2,4.35,MU,1675370067
287,battle creek,42.3212,-85.1797,1.03,47,75,9.26,US,1675370010
288,sola,-13.8833,167.55,27.94,71,21,3.22,VU,1675370067
289,vila velha,-20.3297,-40.2925,28.97,73,20,8.23,BR,1675370068
290,kudahuvadhoo,2.6708,72.8944,26.65,68,26,5.59,MV,1675370068
291,birobidzhan,48.8,132.95,-29.57,93,7,1.65,RU,1675370068
292,khatanga,71.9667,102.5,-35.59,100,60,0.7,RU,1675370069
293,george town,5.4112,100.3354,25.96,89,20,0.0,MY,1675369980
294,hami,42.8,93.45,-4.91,60,55,2.02,CN,1675370069
295,angoche,-16.2325,39.9086,26.35,82,68,1.76,MZ,1675370070
296,san marcos,33.1434,-117.1661,22.02,29,0,4.12,US,1675370070
297,parabel,58.6978,81.4825,-14.89,98,100,1.75,RU,1675370023
298,cabedelo,-6.9811,-34.8339,29.37,73,4,6.48,BR,1675370070
299,yangambi,0.8102,24.4336,20.41,92,64,1.09,CD,1675370071
300,severo-kurilsk,50.6789,156.125,-1.85,96,100,20.58,RU,1675370071
301,los llanos de aridane,28.6585,-17.9182,14.86,74,40,4.63,ES,1675369779
302,berlevag,70.8578,29.0864,-4.03,86,75,6.17,NO,1675370026
303,seoul,37.5683,126.9778,-3.22,55,0,2.06,KR,1675369458
304,lahan,26.7296,86.4951,13.54,67,0,2.01,NP,1675370072
305,wairoa,-39.0333,177.3667,21.42,83,100,1.79,NZ,1675370072
306,harper,4.375,-7.7169,26.66,85,7,3.3,LR,1675370073
307,wajima,37.4,136.9,2.78,65,100,5.91,JP,1675370073
308,san policarpo,12.1791,125.5072,26.24,84,11,6.98,PH,1675370073
309,maryborough,-25.5333,152.7,24.77,91,48,1.17,AU,1675369946
310,yulara,-25.2406,130.9889,18.77,46,0,4.47,AU,1675370074
311,cairns,-16.9167,145.7667,26.7,94,96,0.0,AU,1675370074
312,kulhudhuffushi,6.6221,73.07,26.53,76,100,3.93,MV,1675370075
313,chapais,49.7834,-74.8492,-11.12,94,100,3.88,CA,1675370075
314,kiruna,67.8557,20.2251,-19.49,78,18,4.12,SE,1675370075
315,bilma,18.6853,12.9164,19.71,17,38,3.48,NE,1675370076
316,caraquet,47.7941,-64.9386,-8.7,94,100,0.55,CA,1675370076
317,nanakuli,21.3906,-158.1547,27.7,57,0,1.54,US,1675370076
318,avera,33.194,-82.5271,10.77,81,100,2.39,US,1675370077
319,dhidhdhoo,6.8833,73.1,26.55,76,100,3.61,MV,1675370077
320,puerto suarez,-18.95,-57.8,27.31,78,75,2.06,BO,1675370077
321,acapulco,16.8634,-99.8901,30.9,58,0,1.54,MX,1675369998
322,lasa,46.6166,10.7002,3.49,95,77,3.58,IT,1675370078
323,kadiri,14.1167,78.1667,19.28,67,49,1.58,IN,1675370078
324,junction city,39.0286,-96.8314,7.56,45,0,7.6,US,1675369982
325,sisimiut,66.9395,-53.6735,-10.46,82,100,10.13,GL,1675370078
326,laguna,38.421,-121.4238,17.32,56,0,0.45,US,1675370080
327,olafsvik,64.8945,-23.7142,2.81,91,69,8.55,IS,1675370080
328,fortuna,40.5982,-124.1573,15.51,25,0,9.26,US,1675370081
329,san vicente,-26.6167,-54.1333,27.88,54,50,0.51,AR,1675370081
330,balotra,25.8333,72.2333,17.59,27,2,3.32,IN,1675370081
331,kurumkan,54.3,110.3,-23.17,93,92,1.81,RU,1675370082
